benchmarks/schuppan/phltl/phltl_80_79.negated,0,unknow,60,Killed
benchmarks/schuppan/phltl/phltl_5_4.negated,0.019,0.004,0.023,sat
benchmarks/schuppan/phltl/phltl_60_59,0,unknow,60,Killed
benchmarks/schuppan/phltl/phltl_9_8,0.009,0.009,0.018,unsat
benchmarks/schuppan/phltl/phltl_10_9.negated,0,unknow,60,Killed
benchmarks/schuppan/phltl/phltl_6_5,0.009,0.005,0.014,unsat
benchmarks/schuppan/phltl/phltl_9_8.negated,0.01,0.008,0.018,sat
benchmarks/schuppan/phltl/phltl_10_9,0,unknow,60,Killed
benchmarks/schuppan/phltl/phltl_7_6,0.018,0.005,0.023,unsat
benchmarks/schuppan/phltl/phltl_70_69.negated,0,unknow,60,Killed
benchmarks/schuppan/phltl/phltl_20_19.negated,0,unknow,60,Killed
benchmarks/schuppan/phltl/phltl_80_79,0,unknow,60,Killed
benchmarks/schuppan/phltl/phltl_40_39.negated,0,unknow,60,Killed
benchmarks/schuppan/phltl/phltl_30_29,0.016,0.813,0.829,unsat
benchmarks/schuppan/O1formula/O1formula10,0.017,0.006,0.023,unsat
benchmarks/schuppan/O1formula/O1formula5.negated,0,unknow,60,Killed
benchmarks/schuppan/O1formula/O1formula90,0,unknow,60,Killed
benchmarks/schuppan/O1formula/O1formula500,0,unknow,60,Killed
benchmarks/schuppan/O1formula/O1formula800.negated,0,unknow,60,Killed
benchmarks/schuppan/O1formula/O1formula100.negated,0,unknow,60,Killed
benchmarks/schuppan/O1formula/O1formula1000.negated,0.017,1.501,1.518,sat
benchmarks/schuppan/O1formula/O1formula400.negated,0,unknow,60,Killed
benchmarks/schuppan/O1formula/O1formula800,0,unknow,60,Killed
benchmarks/schuppan/O1formula/O1formula9.negated,0,unknow,60,Killed
benchmarks/schuppan/O1formula/O1formula40,0,unknow,60,Killed
benchmarks/schuppan/O1formula/O1formula50.negated,0,unknow,60,Killed
benchmarks/schuppan/O1formula/O1formula9,0,unknow,60,Killed
benchmarks/schuppan/O1formula/O1formula90.negated,0,unknow,60,Killed
benchmarks/schuppan/O1formula/O1formula6,0,unknow,60,Killed
benchmarks/schuppan/O1formula/O1formula900,0,unknow,60,Killed
benchmarks/schuppan/O1formula/O1formula3,0.018,0.006,0.024,unsat
benchmarks/schuppan/O1formula/O1formula80,0,unknow,60,Killed
benchmarks/schuppan/O1formula/O1formula80.negated,0,unknow,60,Killed
benchmarks/schuppan/O1formula/O1formula60,0,unknow,60,Killed
benchmarks/schuppan/O1formula/O1formula4,0,unknow,60,Killed
benchmarks/schuppan/O1formula/O1formula400,0,unknow,60,Killed
benchmarks/schuppan/O1formula/O1formula6.negated,0,unknow,60,Killed
