dir;test;clauses;aaltafuc_unsat_core_cardinality;aaltafuc_timing;aaltafuc_terminated_OK;trppp_unsat_core_cardinality;trppp_timing;trppp_terminated_OK;ltlfuc_sat_unsat_core_cardinality;ltlfuc_sat_timing;ltlfuc_sat_terminated_OK;ltlfuc_bdd_unsat_core_cardinality;ltlfuc_bdd_timing;ltlfuc_bdd_terminated_OK;v_best_unsat_core_cardinality;v_best_timing;v_best_terminated_OK
/AIJ-artifact/LTLf-specific/benchmarks/benchmarks_ltlf/LTLfRandomConjunction/V20/100;N46;131;10;0.027012;True;5;12.369;True;-1;47.04;False;-1;10000;False;5;0.027012;True
/AIJ-artifact/LTLf-specific/benchmarks/benchmarks_ltlf/LTLfRandomConjunction/V20/90;N41;118;9;0.016571;True;4;2.706;True;-1;38.88;False;-1;10000;False;4;0.016571;True
/AIJ-artifact/LTLf-specific/benchmarks/benchmarks_ltlf/LTLfRandomConjunction/V20/60;N21;78;9;0.016639;True;5;1.021;True;-1;27.34;False;-1;10000;False;5;0.016639;True
/AIJ-artifact/LTLf-specific/benchmarks/benchmarks_ltlf/LTLfRandomConjunction/C100/80;N47;133;6;0.065476;True;-1;10000;False;-1;64.98;False;-1;10000;False;6;0.065476;True
/AIJ-artifact/LTLf-specific/benchmarks/benchmarks_ltlf/LTLfRandomConjunction/C100/80;N19;129;4;0.049597;True;-1;10000;False;-1;67.6;False;-1;10000;False;4;0.049597;True
/AIJ-artifact/LTL-as-LTLf/benchmarks/benchmarks/schuppan/O2formula;O2formula8;8;8;0.044686;True;8;81.586;True;-1;6.99;False;8;0.06;True;8;0.044686;True
/AIJ-artifact/LTLf-specific/benchmarks/benchmarks_ltlf/LTLfRandomConjunction/C100/40;N8;139;22;0.235127;True;5;4.279;True;-1;10000;False;-1;10000;False;5;0.235127;True
/AIJ-artifact/LTLf-specific/benchmarks/benchmarks_ltlf/LTLfRandomConjunction/C100/50;N50;128;9;0.033959;True;-1;10000;False;-1;61.86;False;-1;10000;False;9;0.033959;True
/AIJ-artifact/LTLf-specific/benchmarks/benchmarks_ltlf/LTLfRandomConjunction/C100/60;N16;135;3;0.02606;True;2;2.754;True;-1;76.05;False;-1;10000;False;2;0.02606;True
/AIJ-artifact/LTLf-specific/benchmarks/benchmarks_ltlf/LTLfRandomConjunction/V20/70;N15;88;12;0.014153;True;3;1.05;True;-1;30.19;False;-1;10000;False;3;0.014153;True
/AIJ-artifact/LTLf-specific/benchmarks/benchmarks_ltlf/LTLfRandomConjunction/V20/70;N28;88;7;0.020611;True;3;0.879;True;-1;30.78;False;-1;10000;False;3;0.020611;True
/AIJ-artifact/LTLf-specific/benchmarks/benchmarks_ltlf/LTLfRandomConjunction/V20/100;N25;143;6;0.023528;True;4;3.65;True;-1;46.15;False;-1;10000;False;4;0.023528;True
/AIJ-artifact/LTL-as-LTLf/benchmarks/benchmarks/anzu/genbuf/genbuf_c;spec_c_5;109;10;0.040759;True;-1;10000;False;-1;10000;False;-1;10000;False;10;0.040759;True
/AIJ-artifact/LTLf-specific/benchmarks/benchmarks_ltlf/LTLfRandomConjunction/V20/60;N39;80;2;0.014501;True;-1;10000;False;-1;24.39;False;-1;10000;False;2;0.014501;True
/AIJ-artifact/LTL-as-LTLf/benchmarks/benchmarks/anzu/genbuf/genbuf_cl;spec_cl_1;58;13;0.023383;True;-1;10000;False;-1;10000;False;-1;10000;False;13;0.023383;True
/AIJ-artifact/LTLf-specific/benchmarks/benchmarks_ltlf/LTLfRandomConjunction/C100/70;N36;130;5;0.029845;True;-1;10000;False;-1;67.17;False;-1;10000;False;5;0.029845;True
/AIJ-artifact/LTL-as-LTLf/benchmarks/benchmarks/schuppan/O2formula;O2formula9;9;9;0.096772;True;-1;10000;False;-1;7.32;False;9;0.08;True;9;0.08;True
/AIJ-artifact/LTLf-specific/benchmarks/benchmarks_ltlf/LTLfRandomConjunction/V20/90;N11;125;5;0.021206;True;-1;10000;False;-1;49.84;False;-1;10000;False;5;0.021206;True
/AIJ-artifact/LTLf-specific/benchmarks/benchmarks_ltlf/LTLfRandomConjunction/C100/100;N19;135;5;0.034009;True;-1;10000;False;-1;74.06;False;-1;10000;False;5;0.034009;True
/AIJ-artifact/LTL-as-LTLf/benchmarks/benchmarks/alaska/lift/lift_b_f;lift_b_f_11;24;21;0.156901;True;-1;10000;False;-1;10000;False;-1;10000;False;21;0.156901;True
/AIJ-artifact/LTLf-specific/benchmarks/benchmarks_ltlf/LTLfRandomConjunction/V20/90;N19;116;18;0.061332;True;-1;10000;False;-1;37.02;False;-1;10000;False;18;0.061332;True
/AIJ-artifact/LTLf-specific/benchmarks/benchmarks_ltlf/LTLfRandomConjunction/V20/60;N19;77;5;0.013947;True;4;0.7;True;-1;29.26;False;-1;10000;False;4;0.013947;True
/AIJ-artifact/LTLf-specific/benchmarks/benchmarks_ltlf/LTLfRandomConjunction/C100/80;N8;138;6;0.068577;True;-1;10000;False;-1;84.35;False;-1;10000;False;6;0.068577;True
/AIJ-artifact/LTLf-specific/benchmarks/benchmarks_ltlf/LTLfRandomConjunction/C100/80;N39;132;2;0.032501;True;-1;10000;False;-1;77.09;False;-1;10000;False;2;0.032501;True
/AIJ-artifact/LTLf-specific/benchmarks/benchmarks_ltlf/LTLfRandomConjunction/C100/80;N5;123;4;0.05111;True;-1;10000;False;-1;66.61;False;-1;10000;False;4;0.05111;True
/AIJ-artifact/LTLf-specific/benchmarks/benchmarks_ltlf/LTLfRandomConjunction/C100/90;N18;133;5;0.064607;True;-1;10000;False;-1;80.06;False;-1;10000;False;5;0.064607;True
